"timestamp","count","uniques","date_retrieved"
"2021-01-23T00:00:00Z",1,1,2021-02-02
"2021-01-24T00:00:00Z",1,1,2021-02-02
"2021-01-25T00:00:00Z",2,2,2021-02-02
"2021-01-26T00:00:00Z",1,1,2021-02-02
"2021-01-27T00:00:00Z",1,1,2021-02-02
"2021-01-28T00:00:00Z",1,1,2021-02-02
"2021-01-29T00:00:00Z",1,1,2021-02-02
"2021-01-30T00:00:00Z",1,1,2021-02-02
"2021-01-31T00:00:00Z",2,2,2021-02-02
"2021-02-01T00:00:00Z",1,1,2021-02-02
"2021-01-21T00:00:00Z",1,1,2021-02-03
"2021-01-22T00:00:00Z",1,1,2021-02-03
"2021-01-23T00:00:00Z",1,1,2021-02-03
"2021-01-24T00:00:00Z",1,1,2021-02-03
"2021-01-25T00:00:00Z",2,2,2021-02-03
"2021-01-26T00:00:00Z",1,1,2021-02-03
"2021-01-27T00:00:00Z",1,1,2021-02-03
"2021-01-28T00:00:00Z",1,1,2021-02-03
"2021-01-29T00:00:00Z",1,1,2021-02-03
"2021-01-30T00:00:00Z",1,1,2021-02-03
"2021-01-31T00:00:00Z",2,2,2021-02-03
"2021-02-01T00:00:00Z",1,1,2021-02-03
"2021-02-02T00:00:00Z",1,1,2021-02-03
"2021-01-22T00:00:00Z",1,1,2021-02-04
"2021-01-23T00:00:00Z",1,1,2021-02-04
"2021-01-24T00:00:00Z",1,1,2021-02-04
"2021-01-25T00:00:00Z",2,2,2021-02-04
"2021-01-26T00:00:00Z",1,1,2021-02-04
"2021-01-27T00:00:00Z",1,1,2021-02-04
"2021-01-28T00:00:00Z",1,1,2021-02-04
"2021-01-29T00:00:00Z",1,1,2021-02-04
"2021-01-30T00:00:00Z",1,1,2021-02-04
"2021-01-31T00:00:00Z",2,2,2021-02-04
"2021-02-01T00:00:00Z",1,1,2021-02-04
"2021-02-02T00:00:00Z",1,1,2021-02-04
"2021-02-03T00:00:00Z",1,1,2021-02-04
"2021-01-23T00:00:00Z",1,1,2021-02-05
"2021-01-24T00:00:00Z",1,1,2021-02-05
"2021-01-25T00:00:00Z",2,2,2021-02-05
"2021-01-26T00:00:00Z",1,1,2021-02-05
"2021-01-27T00:00:00Z",1,1,2021-02-05
"2021-01-28T00:00:00Z",1,1,2021-02-05
"2021-01-29T00:00:00Z",1,1,2021-02-05
"2021-01-30T00:00:00Z",1,1,2021-02-05
"2021-01-31T00:00:00Z",2,2,2021-02-05
"2021-02-01T00:00:00Z",1,1,2021-02-05
"2021-02-02T00:00:00Z",1,1,2021-02-05
"2021-02-03T00:00:00Z",1,1,2021-02-05
"2021-02-04T00:00:00Z",2,2,2021-02-05
"2021-01-24T00:00:00Z",1,1,2021-02-06
"2021-01-25T00:00:00Z",2,2,2021-02-06
"2021-01-26T00:00:00Z",1,1,2021-02-06
"2021-01-27T00:00:00Z",1,1,2021-02-06
"2021-01-28T00:00:00Z",1,1,2021-02-06
"2021-01-29T00:00:00Z",1,1,2021-02-06
"2021-01-30T00:00:00Z",1,1,2021-02-06
"2021-01-31T00:00:00Z",2,2,2021-02-06
"2021-02-01T00:00:00Z",1,1,2021-02-06
"2021-02-02T00:00:00Z",1,1,2021-02-06
"2021-02-03T00:00:00Z",1,1,2021-02-06
"2021-02-04T00:00:00Z",2,2,2021-02-06
"2021-02-05T00:00:00Z",2,2,2021-02-06
"2021-02-06T00:00:00Z",1,1,2021-02-06
"2021-01-25T00:00:00Z",2,2,2021-02-07
"2021-01-26T00:00:00Z",1,1,2021-02-07
"2021-01-27T00:00:00Z",1,1,2021-02-07
"2021-01-28T00:00:00Z",1,1,2021-02-07
"2021-01-29T00:00:00Z",1,1,2021-02-07
"2021-01-30T00:00:00Z",1,1,2021-02-07
"2021-01-31T00:00:00Z",2,2,2021-02-07
"2021-02-01T00:00:00Z",1,1,2021-02-07
"2021-02-02T00:00:00Z",1,1,2021-02-07
"2021-02-03T00:00:00Z",1,1,2021-02-07
"2021-02-04T00:00:00Z",2,2,2021-02-07
"2021-02-05T00:00:00Z",2,2,2021-02-07
"2021-02-06T00:00:00Z",3,3,2021-02-07
"2021-01-26T00:00:00Z",1,1,2021-02-08
"2021-01-27T00:00:00Z",1,1,2021-02-08
"2021-01-28T00:00:00Z",1,1,2021-02-08
"2021-01-29T00:00:00Z",1,1,2021-02-08
"2021-01-30T00:00:00Z",1,1,2021-02-08
"2021-01-31T00:00:00Z",2,2,2021-02-08
"2021-02-01T00:00:00Z",1,1,2021-02-08
"2021-02-02T00:00:00Z",1,1,2021-02-08
"2021-02-03T00:00:00Z",1,1,2021-02-08
"2021-02-04T00:00:00Z",2,2,2021-02-08
"2021-02-05T00:00:00Z",2,2,2021-02-08
"2021-02-06T00:00:00Z",3,3,2021-02-08
"2021-02-07T00:00:00Z",3,3,2021-02-08
"2021-01-27T00:00:00Z",1,1,2021-02-09
"2021-01-28T00:00:00Z",1,1,2021-02-09
"2021-01-29T00:00:00Z",1,1,2021-02-09
"2021-01-30T00:00:00Z",1,1,2021-02-09
"2021-01-31T00:00:00Z",2,2,2021-02-09
"2021-02-01T00:00:00Z",1,1,2021-02-09
"2021-02-02T00:00:00Z",1,1,2021-02-09
"2021-02-03T00:00:00Z",1,1,2021-02-09
"2021-02-04T00:00:00Z",2,2,2021-02-09
"2021-02-05T00:00:00Z",2,2,2021-02-09
"2021-02-06T00:00:00Z",3,3,2021-02-09
"2021-02-07T00:00:00Z",3,3,2021-02-09
"2021-02-08T00:00:00Z",1,1,2021-02-09
"2021-01-28T00:00:00Z",1,1,2021-02-10
"2021-01-29T00:00:00Z",1,1,2021-02-10
"2021-01-30T00:00:00Z",1,1,2021-02-10
"2021-01-31T00:00:00Z",2,2,2021-02-10
"2021-02-01T00:00:00Z",1,1,2021-02-10
"2021-02-02T00:00:00Z",1,1,2021-02-10
"2021-02-03T00:00:00Z",1,1,2021-02-10
"2021-02-04T00:00:00Z",2,2,2021-02-10
"2021-02-05T00:00:00Z",2,2,2021-02-10
"2021-02-06T00:00:00Z",3,3,2021-02-10
"2021-02-07T00:00:00Z",3,3,2021-02-10
"2021-02-08T00:00:00Z",1,1,2021-02-10
"2021-02-09T00:00:00Z",1,1,2021-02-10
"2021-01-29T00:00:00Z",1,1,2021-02-11
"2021-01-30T00:00:00Z",1,1,2021-02-11
"2021-01-31T00:00:00Z",2,2,2021-02-11
"2021-02-01T00:00:00Z",1,1,2021-02-11
"2021-02-02T00:00:00Z",1,1,2021-02-11
"2021-02-03T00:00:00Z",1,1,2021-02-11
"2021-02-04T00:00:00Z",2,2,2021-02-11
"2021-02-05T00:00:00Z",2,2,2021-02-11
"2021-02-06T00:00:00Z",3,3,2021-02-11
"2021-02-07T00:00:00Z",3,3,2021-02-11
"2021-02-08T00:00:00Z",1,1,2021-02-11
"2021-02-09T00:00:00Z",1,1,2021-02-11
"2021-02-10T00:00:00Z",3,3,2021-02-11
"2021-01-30T00:00:00Z",1,1,2021-02-12
"2021-01-31T00:00:00Z",2,2,2021-02-12
"2021-02-01T00:00:00Z",1,1,2021-02-12
"2021-02-02T00:00:00Z",1,1,2021-02-12
"2021-02-03T00:00:00Z",1,1,2021-02-12
"2021-02-04T00:00:00Z",2,2,2021-02-12
"2021-02-05T00:00:00Z",2,2,2021-02-12
"2021-02-06T00:00:00Z",3,3,2021-02-12
"2021-02-07T00:00:00Z",3,3,2021-02-12
"2021-02-08T00:00:00Z",1,1,2021-02-12
"2021-02-09T00:00:00Z",1,1,2021-02-12
"2021-02-10T00:00:00Z",3,3,2021-02-12
"2021-02-11T00:00:00Z",4,4,2021-02-12
"2021-01-31T00:00:00Z",2,2,2021-02-13
"2021-02-01T00:00:00Z",1,1,2021-02-13
"2021-02-02T00:00:00Z",1,1,2021-02-13
"2021-02-03T00:00:00Z",1,1,2021-02-13
"2021-02-04T00:00:00Z",2,2,2021-02-13
"2021-02-05T00:00:00Z",2,2,2021-02-13
"2021-02-06T00:00:00Z",3,3,2021-02-13
"2021-02-07T00:00:00Z",3,3,2021-02-13
"2021-02-08T00:00:00Z",1,1,2021-02-13
"2021-02-09T00:00:00Z",1,1,2021-02-13
"2021-02-10T00:00:00Z",3,3,2021-02-13
"2021-02-11T00:00:00Z",4,4,2021-02-13
"2021-02-12T00:00:00Z",1,1,2021-02-13
"2021-02-01T00:00:00Z",1,1,2021-02-14
"2021-02-02T00:00:00Z",1,1,2021-02-14
"2021-02-03T00:00:00Z",1,1,2021-02-14
"2021-02-04T00:00:00Z",2,2,2021-02-14
"2021-02-05T00:00:00Z",2,2,2021-02-14
"2021-02-06T00:00:00Z",3,3,2021-02-14
"2021-02-07T00:00:00Z",3,3,2021-02-14
"2021-02-08T00:00:00Z",1,1,2021-02-14
"2021-02-09T00:00:00Z",1,1,2021-02-14
"2021-02-10T00:00:00Z",3,3,2021-02-14
"2021-02-11T00:00:00Z",4,4,2021-02-14
"2021-02-12T00:00:00Z",1,1,2021-02-14
"2021-02-13T00:00:00Z",3,3,2021-02-14
"2021-02-02T00:00:00Z",1,1,2021-02-15
"2021-02-03T00:00:00Z",1,1,2021-02-15
"2021-02-04T00:00:00Z",2,2,2021-02-15
"2021-02-05T00:00:00Z",2,2,2021-02-15
"2021-02-06T00:00:00Z",3,3,2021-02-15
"2021-02-07T00:00:00Z",3,3,2021-02-15
"2021-02-08T00:00:00Z",1,1,2021-02-15
"2021-02-09T00:00:00Z",1,1,2021-02-15
"2021-02-10T00:00:00Z",3,3,2021-02-15
"2021-02-11T00:00:00Z",4,4,2021-02-15
"2021-02-12T00:00:00Z",1,1,2021-02-15
"2021-02-13T00:00:00Z",3,3,2021-02-15
"2021-02-14T00:00:00Z",1,1,2021-02-15
"2021-02-03T00:00:00Z",1,1,2021-02-16
"2021-02-04T00:00:00Z",2,2,2021-02-16
"2021-02-05T00:00:00Z",2,2,2021-02-16
"2021-02-06T00:00:00Z",3,3,2021-02-16
"2021-02-07T00:00:00Z",3,3,2021-02-16
"2021-02-08T00:00:00Z",1,1,2021-02-16
"2021-02-09T00:00:00Z",1,1,2021-02-16
"2021-02-10T00:00:00Z",3,3,2021-02-16
"2021-02-11T00:00:00Z",4,4,2021-02-16
"2021-02-12T00:00:00Z",1,1,2021-02-16
"2021-02-13T00:00:00Z",3,3,2021-02-16
"2021-02-14T00:00:00Z",1,1,2021-02-16
"2021-02-15T00:00:00Z",2,2,2021-02-16
"2021-02-04T00:00:00Z",2,2,2021-02-17
"2021-02-05T00:00:00Z",2,2,2021-02-17
"2021-02-06T00:00:00Z",3,3,2021-02-17
"2021-02-07T00:00:00Z",3,3,2021-02-17
"2021-02-08T00:00:00Z",1,1,2021-02-17
"2021-02-09T00:00:00Z",1,1,2021-02-17
"2021-02-10T00:00:00Z",3,3,2021-02-17
"2021-02-11T00:00:00Z",4,4,2021-02-17
"2021-02-12T00:00:00Z",1,1,2021-02-17
"2021-02-13T00:00:00Z",3,3,2021-02-17
"2021-02-14T00:00:00Z",1,1,2021-02-17
"2021-02-15T00:00:00Z",2,2,2021-02-17
"2021-02-16T00:00:00Z",2,2,2021-02-17
"2021-02-05T00:00:00Z",2,2,2021-02-18
"2021-02-06T00:00:00Z",3,3,2021-02-18
"2021-02-07T00:00:00Z",3,3,2021-02-18
"2021-02-08T00:00:00Z",1,1,2021-02-18
"2021-02-09T00:00:00Z",1,1,2021-02-18
"2021-02-10T00:00:00Z",3,3,2021-02-18
"2021-02-11T00:00:00Z",4,4,2021-02-18
"2021-02-12T00:00:00Z",1,1,2021-02-18
"2021-02-13T00:00:00Z",3,3,2021-02-18
"2021-02-14T00:00:00Z",1,1,2021-02-18
"2021-02-15T00:00:00Z",2,2,2021-02-18
"2021-02-16T00:00:00Z",2,2,2021-02-18
"2021-02-17T00:00:00Z",1,1,2021-02-18
"2021-02-06T00:00:00Z",3,3,2021-02-19
"2021-02-07T00:00:00Z",3,3,2021-02-19
"2021-02-08T00:00:00Z",1,1,2021-02-19
"2021-02-09T00:00:00Z",1,1,2021-02-19
"2021-02-10T00:00:00Z",3,3,2021-02-19
"2021-02-11T00:00:00Z",4,4,2021-02-19
"2021-02-12T00:00:00Z",1,1,2021-02-19
"2021-02-13T00:00:00Z",3,3,2021-02-19
"2021-02-14T00:00:00Z",1,1,2021-02-19
"2021-02-15T00:00:00Z",2,2,2021-02-19
"2021-02-16T00:00:00Z",2,2,2021-02-19
"2021-02-17T00:00:00Z",1,1,2021-02-19
"2021-02-18T00:00:00Z",1,1,2021-02-19
"2021-02-07T00:00:00Z",3,3,2021-02-20
"2021-02-08T00:00:00Z",1,1,2021-02-20
"2021-02-09T00:00:00Z",1,1,2021-02-20
"2021-02-10T00:00:00Z",3,3,2021-02-20
"2021-02-11T00:00:00Z",4,4,2021-02-20
"2021-02-12T00:00:00Z",1,1,2021-02-20
"2021-02-13T00:00:00Z",3,3,2021-02-20
"2021-02-14T00:00:00Z",1,1,2021-02-20
"2021-02-15T00:00:00Z",2,2,2021-02-20
"2021-02-16T00:00:00Z",2,2,2021-02-20
"2021-02-17T00:00:00Z",1,1,2021-02-20
"2021-02-18T00:00:00Z",1,1,2021-02-20
"2021-02-19T00:00:00Z",1,1,2021-02-20
"2021-02-08T00:00:00Z",1,1,2021-02-21
"2021-02-09T00:00:00Z",1,1,2021-02-21
"2021-02-10T00:00:00Z",3,3,2021-02-21
"2021-02-11T00:00:00Z",4,4,2021-02-21
"2021-02-12T00:00:00Z",1,1,2021-02-21
"2021-02-13T00:00:00Z",3,3,2021-02-21
"2021-02-14T00:00:00Z",1,1,2021-02-21
"2021-02-15T00:00:00Z",2,2,2021-02-21
"2021-02-16T00:00:00Z",2,2,2021-02-21
"2021-02-17T00:00:00Z",1,1,2021-02-21
"2021-02-18T00:00:00Z",1,1,2021-02-21
"2021-02-19T00:00:00Z",1,1,2021-02-21
"2021-02-20T00:00:00Z",3,3,2021-02-21
"2021-02-08T00:00:00Z",1,1,2021-02-22
"2021-02-09T00:00:00Z",1,1,2021-02-22
"2021-02-10T00:00:00Z",3,3,2021-02-22
"2021-02-11T00:00:00Z",4,4,2021-02-22
"2021-02-12T00:00:00Z",1,1,2021-02-22
"2021-02-13T00:00:00Z",3,3,2021-02-22
"2021-02-14T00:00:00Z",1,1,2021-02-22
"2021-02-15T00:00:00Z",2,2,2021-02-22
"2021-02-16T00:00:00Z",2,2,2021-02-22
"2021-02-17T00:00:00Z",1,1,2021-02-22
"2021-02-18T00:00:00Z",1,1,2021-02-22
"2021-02-19T00:00:00Z",1,1,2021-02-22
"2021-02-20T00:00:00Z",3,3,2021-02-22
"2021-02-21T00:00:00Z",1,1,2021-02-22
"2021-02-10T00:00:00Z",3,3,2021-02-23
"2021-02-11T00:00:00Z",4,4,2021-02-23
"2021-02-12T00:00:00Z",1,1,2021-02-23
"2021-02-13T00:00:00Z",3,3,2021-02-23
"2021-02-14T00:00:00Z",1,1,2021-02-23
"2021-02-15T00:00:00Z",2,2,2021-02-23
"2021-02-16T00:00:00Z",2,2,2021-02-23
"2021-02-17T00:00:00Z",1,1,2021-02-23
"2021-02-18T00:00:00Z",1,1,2021-02-23
"2021-02-19T00:00:00Z",1,1,2021-02-23
"2021-02-20T00:00:00Z",3,3,2021-02-23
"2021-02-21T00:00:00Z",1,1,2021-02-23
"2021-02-22T00:00:00Z",1,1,2021-02-23
"2021-02-11T00:00:00Z",4,4,2021-02-24
"2021-02-12T00:00:00Z",1,1,2021-02-24
"2021-02-13T00:00:00Z",3,3,2021-02-24
"2021-02-14T00:00:00Z",1,1,2021-02-24
"2021-02-15T00:00:00Z",2,2,2021-02-24
"2021-02-16T00:00:00Z",2,2,2021-02-24
"2021-02-17T00:00:00Z",1,1,2021-02-24
"2021-02-18T00:00:00Z",1,1,2021-02-24
"2021-02-19T00:00:00Z",1,1,2021-02-24
"2021-02-20T00:00:00Z",3,3,2021-02-24
"2021-02-21T00:00:00Z",1,1,2021-02-24
"2021-02-22T00:00:00Z",1,1,2021-02-24
"2021-02-23T00:00:00Z",2,2,2021-02-24
"2021-02-12T00:00:00Z",1,1,2021-02-25
"2021-02-13T00:00:00Z",3,3,2021-02-25
"2021-02-14T00:00:00Z",1,1,2021-02-25
"2021-02-15T00:00:00Z",2,2,2021-02-25
"2021-02-16T00:00:00Z",2,2,2021-02-25
"2021-02-17T00:00:00Z",1,1,2021-02-25
"2021-02-18T00:00:00Z",1,1,2021-02-25
"2021-02-19T00:00:00Z",1,1,2021-02-25
"2021-02-20T00:00:00Z",3,3,2021-02-25
"2021-02-21T00:00:00Z",1,1,2021-02-25
"2021-02-22T00:00:00Z",1,1,2021-02-25
"2021-02-23T00:00:00Z",2,2,2021-02-25
"2021-02-24T00:00:00Z",1,1,2021-02-25
"2021-02-13T00:00:00Z",3,3,2021-02-26
"2021-02-14T00:00:00Z",1,1,2021-02-26
"2021-02-15T00:00:00Z",2,2,2021-02-26
"2021-02-16T00:00:00Z",2,2,2021-02-26
"2021-02-17T00:00:00Z",1,1,2021-02-26
"2021-02-18T00:00:00Z",1,1,2021-02-26
"2021-02-19T00:00:00Z",1,1,2021-02-26
"2021-02-20T00:00:00Z",3,3,2021-02-26
"2021-02-21T00:00:00Z",1,1,2021-02-26
"2021-02-22T00:00:00Z",1,1,2021-02-26
"2021-02-23T00:00:00Z",2,2,2021-02-26
"2021-02-24T00:00:00Z",1,1,2021-02-26
"2021-02-25T00:00:00Z",3,3,2021-02-26
"2021-02-15T00:00:00Z",2,2,2021-02-28
"2021-02-16T00:00:00Z",2,2,2021-02-28
"2021-02-17T00:00:00Z",1,1,2021-02-28
"2021-02-18T00:00:00Z",1,1,2021-02-28
"2021-02-19T00:00:00Z",1,1,2021-02-28
"2021-02-20T00:00:00Z",3,3,2021-02-28
"2021-02-21T00:00:00Z",1,1,2021-02-28
"2021-02-22T00:00:00Z",1,1,2021-02-28
"2021-02-23T00:00:00Z",2,2,2021-02-28
"2021-02-24T00:00:00Z",1,1,2021-02-28
"2021-02-25T00:00:00Z",3,3,2021-02-28
"2021-02-26T00:00:00Z",1,1,2021-02-28
"2021-02-27T00:00:00Z",1,1,2021-02-28
"2021-02-16T00:00:00Z",2,2,2021-03-01
"2021-02-17T00:00:00Z",1,1,2021-03-01
"2021-02-18T00:00:00Z",1,1,2021-03-01
"2021-02-19T00:00:00Z",1,1,2021-03-01
"2021-02-20T00:00:00Z",3,3,2021-03-01
